File: ir.test
Build ID: c04c187aa21bc6f91981449071546a96d38658f2
Type: cpu
Time: 2026-05-10 20:07:01 MSK
Duration: 1.31s, Total samples = 1.71s (130.96%)
Showing nodes accounting for 1.71s, 100% of 1.71s total
      flat  flat%   sum%        cum   cum%
     0.31s 18.13% 18.13%      0.31s 18.13%  aeshashbody
         0     0%   100%      0.02s  1.17%  runtime.sysUnusedOS
         0     0%   100%      0.51s 29.82%  runtime.systemstack
         0     0%   100%      0.01s  0.58%  runtime.wakep
         0     0%   100%      0.01s  0.58%  runtime.wbBufFlush
         0     0%   100%      0.01s  0.58%  runtime.wbBufFlush.func1
         0     0%   100%      0.01s  0.58%  runtime.wbBufFlush1
         0     0%   100%      0.02s  1.17%  siaod-hw5-irindex/internal/ir.(*InvIndex).Add
         0     0%   100%      1.13s 66.08%  siaod-hw5-irindex/internal/ir.BenchmarkQueryEvalMixed.func1
         0     0%   100%      1.09s 63.74%  siaod-hw5-irindex/internal/ir.Eval (inline)
         0     0%   100%      1.09s 63.74%  siaod-hw5-irindex/internal/ir.eval
         0     0%   100%      1.03s 60.23%  siaod-hw5-irindex/internal/ir.evalMSM
         0     0%   100%      0.04s  2.34%  siaod-hw5-irindex/internal/ir.fillCorpus
         0     0%   100%      0.05s  2.92%  siaod-hw5-irindex/internal/ir.msmInDoc.func1 (inline)
         0     0%   100%      0.01s  0.58%  siaod-hw5-irindex/internal/ir.subtractSorted
         0     0%   100%      1.10s 64.33%  testing.(*B).launch
         0     0%   100%      0.03s  1.75%  testing.(*B).run1.func1
         0     0%   100%      1.13s 66.08%  testing.(*B).runN
