family,params,build_sec,index_bytes,search_sec,recall_at_k
HNSW,"{""M"": 32, ""efConstruction"": 40, ""efSearch"": 64}",35.065986,784129506,0.550732,0.929685
HNSW,"{""M"": 32, ""efConstruction"": 40, ""efSearch"": 96}",35.065986,784129506,0.722374,0.961058
HNSW,"{""M"": 32, ""efConstruction"": 40, ""efSearch"": 128}",35.065986,784129506,0.881891,0.975451
HNSW,"{""M"": 32, ""efConstruction"": 40, ""efSearch"": 192}",35.065986,784129506,1.237275,0.988057
HNSW,"{""M"": 32, ""efConstruction"": 40, ""efSearch"": 256}",35.065986,784129506,1.625879,0.993243
HNSW,"{""M"": 32, ""efConstruction"": 120, ""efSearch"": 32}",65.514400,784129506,0.269228,0.814704
HNSW,"{""M"": 32, ""efConstruction"": 120, ""efSearch"": 64}",65.514400,784129506,0.498061,0.921138
HNSW,"{""M"": 32, ""efConstruction"": 120, ""efSearch"": 96}",65.514400,784129506,0.560815,0.957820
HNSW,"{""M"": 32, ""efConstruction"": 120, ""efSearch"": 128}",65.514400,784129506,0.711603,0.973439
HNSW,"{""M"": 32, ""efConstruction"": 120, ""efSearch"": 192}",65.514400,784129506,1.059491,0.987355
HNSW,"{""M"": 32, ""efConstruction"": 120, ""efSearch"": 256}",65.514400,784129506,1.307207,0.992955
HNSW,"{""M"": 32, ""efConstruction"": 200, ""efSearch"": 32}",114.007260,784129506,0.356086,0.836288
HNSW,"{""M"": 32, ""efConstruction"": 200, ""efSearch"": 64}",114.007260,784129506,0.557053,0.937527
HNSW,"{""M"": 32, ""efConstruction"": 200, ""efSearch"": 96}",114.007260,784129506,0.727928,0.969619
HNSW,"{""M"": 32, ""efConstruction"": 200, ""efSearch"": 128}",114.007260,784129506,0.919876,0.982492
HNSW,"{""M"": 32, ""efConstruction"": 200, ""efSearch"": 192}",114.007260,784129506,1.310979,0.992478
HNSW,"{""M"": 32, ""efConstruction"": 200, ""efSearch"": 256}",114.007260,784129506,1.682253,0.996054
HNSW,"{""M"": 48, ""efConstruction"": 40, ""efSearch"": 32}",45.628970,912081186,0.437204,0.887281
HNSW,"{""M"": 48, ""efConstruction"": 40, ""efSearch"": 64}",45.628970,912081186,0.739539,0.949189
HNSW,"{""M"": 48, ""efConstruction"": 40, ""efSearch"": 96}",45.628970,912081186,0.978023,0.972604
HNSW,"{""M"": 48, ""efConstruction"": 40, ""efSearch"": 128}",45.628970,912081186,1.227836,0.983264
HNSW,"{""M"": 48, ""efConstruction"": 40, ""efSearch"": 192}",45.628970,912081186,1.712402,0.992266
HNSW,"{""M"": 48, ""efConstruction"": 40, ""efSearch"": 256}",45.628970,912081186,2.156115,0.995781
HNSW,"{""M"": 48, ""efConstruction"": 120, ""efSearch"": 32}",78.337119,912081186,0.331277,0.826008
