family	label	build_sec	index_bytes	search_sec	recall
HNSW	M8_efc40_efs32	16.879065042005095	592566706	0.15960437600006117	0.606037
HNSW	M8_efc40_efs64	16.879065042005095	592566706	0.2333362639983534	0.746297
HNSW	M8_efc40_efs96	16.879065042005095	592566706	0.3500199000045541	0.817003
HNSW	M8_efc40_efs128	16.879065042005095	592566706	0.3859123539950815	0.857981
HNSW	M8_efc40_efs192	16.879065042005095	592566706	0.5620006719982484	0.90416
HNSW	M8_efc40_efs256	16.879065042005095	592566706	0.733178829003009	0.928525
HNSW	M8_efc120_efs32	47.992631458997494	592566706	0.17399503799970262	0.668798
HNSW	M8_efc120_efs64	47.992631458997494	592566706	0.2812976470013382	0.812269
HNSW	M8_efc120_efs96	47.992631458997494	592566706	0.3873748439946212	0.876178
HNSW	M8_efc120_efs128	47.992631458997494	592566706	0.4581249749971903	0.910094
HNSW	M8_efc120_efs192	47.992631458997494	592566706	0.6571687399991788	0.945713
HNSW	M8_efc120_efs256	47.992631458997494	592566706	0.8502844469985575	0.963306
HNSW	M8_efc200_efs32	77.83135464999941	592566706	0.20970586800103774	0.677048
HNSW	M8_efc200_efs64	77.83135464999941	592566706	0.30318544700276107	0.8225
HNSW	M8_efc200_efs96	77.83135464999941	592566706	0.394618022000941	0.886544
HNSW	M8_efc200_efs128	77.83135464999941	592566706	0.46079402600298636	0.919935
HNSW	M8_efc200_efs192	77.83135464999941	592566706	0.6680994140042458	0.953335
HNSW	M8_efc200_efs256	77.83135464999941	592566706	0.8972903760004556	0.968953
HNSW	M16_efc40_efs32	20.490410727004928	656258362	0.20903554600226926	0.680985
HNSW	M16_efc40_efs64	20.490410727004928	656258362	0.33660935599618824	0.813143
HNSW	M16_efc40_efs96	20.490410727004928	656258362	0.45092740800464526	0.874736
HNSW	M16_efc40_efs128	20.490410727004928	656258362	0.5290102600047248	0.908717
HNSW	M16_efc40_efs192	20.490410727004928	656258362	0.7615967759993509	0.94426
HNSW	M16_efc40_efs256	20.490410727004928	656258362	0.9638106679994962	0.961792
HNSW	M16_efc120_efs32	62.61055358500016	656258362	0.24224049400072545	0.764363
HNSW	M16_efc120_efs64	62.61055358500016	656258362	0.3908011639941833	0.889864
HNSW	M16_efc120_efs96	62.61055358500016	656258362	0.5141736509976909	0.937683
HNSW	M16_efc120_efs128	62.61055358500016	656258362	0.6874994180034264	0.959712
HNSW	M16_efc120_efs192	62.61055358500016	656258362	1.0004840710025746	0.979908
HNSW	M16_efc120_efs256	62.61055358500016	656258362	1.2264443690000917	0.988444
HNSW	M16_efc200_efs32	104.46982832899812	656258362	0.24536242199974367	0.775653
HNSW	M16_efc200_efs64	104.46982832899812	656258362	0.3921088380011497	0.90112
HNSW	M16_efc200_efs96	104.46982832899812	656258362	0.5440758339973399	0.947337
HNSW	M16_efc200_efs128	104.46982832899812	656258362	0.6917798049980775	0.968054
HNSW	M16_efc200_efs192	104.46982832899812	656258362	0.9746990530038602	0.985206
HNSW	M16_efc200_efs256	104.46982832899812	656258362	1.2861914669992984	0.991922
